nama orang,geb/overl.,organ.,werkgebied en -soort,werkperiode,bijzonderheden,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,id
"Tesche, Carl, zdl (D)",1904-2002,NM/SZ,"Semarang, voorg. Maleise gem.",1930-1939,verlof 1938,~ 1931 Luise Bick † 1988,,,> Ungaran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1393
"Teutscher, H.J., zdl (N)",1915-1976,UZV,Miei (Papua),1939-1940,,~ 1939 Johanna Hendrika Valk (1915-2010),,ZNB,"Nias, verv. geïntern. Duitsers",1940-1942,> Jap. internering,,,SZC,Noord-Sumatra,1945-1946,,,,VNZ,Yoka (Papua),1946-1950,verlof 1947-48,,,ZNHK,"Serui (Papua), dir. guru-opl.",1950-1954,,,,ZNHK,"Hollandia/Jayapura, Papua",1960-1962,,,,,,,,1394
"Theis, August, zdl (D)",1874-1968,RMG,Simalungun (Noord-Sumatra),1902-1931,,~ (1) 1902 Henriette Bannier † 1909,,RMG,,,,~ (2) 1911 M. Langemann † 1930+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1395
"Thiele, Alfred Charles F. (D)",1892-1987,STC,Sangihe,1921-1922,naar Europa wg ziekte echtgen.,~ Helene Elisabeth Reusch (1899-1989),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1396
"Thiessen, Johann (Rusland)",1869-1953,DZV,"Pakantan (Zuid-Tap), zdl.",1901-1912,"ontslagen wegens ""wanbeheer""",~ (1) 1902 A.M. Vink † ± 1930,,Pent.,"Bandung, Pinksterbeweging",1921-1953,Zie Laan 82vv ~ te Pa­dang;,~ (2) P.J.R. Inklaar,,,,,1912-±1920 in NL,,,,,,,,,,,,,,,,,,,,,,,,,1397
"Thiessen, Nicolai, zdl (Rusland)",1874-1949,DZV,"Margareja (MJava), beheerder ",1905-1937,"Jensma 66, 73, 99",~ (1) 1907 Johanna Maria Schmalz † 19-4-1912,,,landbouwkolonie,,,~ (2) 1913 Maria Lydia Schmalz (1893-1950),,,,,LMS: † te Apeldoorn,,,,,,,,,,,,,,,,,,,,,,,,,1398
"Thomas, Jost Wilhelm, zdl (D)",1843-1900,RMG,Nias,1872-1900,,~ 1874 Wilhelmine Müller,,,,,"~ op Nias, 28-01-1874 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1399
"Thomson, Frederick B., zdl (VS)",1809-1848,RCA,Karangan/Pontianak,1842-1847,† in Zwitserland,"~ (1) Catherine Wyckoff, † 1839 te Batavia",,,,,,~ (2) 1840 Emma Cecilia Combe (CH) † 1844,,,,,"zie Combe, Emma C.",,,,,,,,,,,,,,,,,,,,,,,,,1400
"Thomson, J. (GB)",,LdH,Palu-dal. Rang: majoor,1918-± 1922,in Indonesië ±1900-±1922,"~ N.M. (M.A.?) Smith, majoor LdH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1401
"Thornton, Ms. El., ond. (GB)",,ESPFEE,"Batavia, hoofd meisjesschool",1835-±1845,repatrieert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1402
"Tibben, zr. Hendrikje (H)",1887?-1957?,,"Yogya, verpleegster Zzh",1920-1921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1403
"Tiedeman, zr. N. (N)",,ZGKN-MJ,"Magelang, hoofdverpl. Zzh",1937-1939,geb. te Batavia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1404
"Tiekstra, Gjalt Bouwes, ond. (N)",1882-1960,NZG,"Tomohon, schoolbeheerder",1920-1932,1940-45 actief in het verzet ,~ 1910 Hiskiena Hilgenga (1880-?),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1405
"Tiemersma, L., zdl (N)", 1861-1944,NZV,Bogor (WJava),1887-1889,auteur van veel theol. lectuur,~ 1887 Henr. Jac. Maria Bizelaar (1868-±1935),,NZV,Tangerang (WJava) > verlof,1889-1899,"GZbl 1916; 168; 1921, 23-26",,,NZV,Batavia > ontslag door HB NZV,1900-1909,> pred. Gereja Kwi­tang,,,,,,,,,,,,,,,,,,,,,,,,,1406
"Tiemeyer, Friedrich, zdl (D)",1901-1988,RMG,"Samosir, Padang Sidempuan",1929-1940,,~ 1931 Hanna Eickhoff † 1957,,RMG,Noord-Sumatra,1953-1957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1407
"Tilbury, A.W. (GB)",,LdH,Palu-dal. Rang: adjudant,1917-1921,in Indonesië 1917-1923,"~ H.A. Nellist, ajudan",,,"> Batavia (Chin.), Semarang",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1408
"Tilstra, Klaas (N)",1897-1985,SDA,"Srb, Palemb., Pem. Siantar, Bdg",1927-1942,ESDA. 1942-1945 geïntern.,~ (1) 1927 Marie M. Klingbeil † 1945,,,"Hollandia, Nieuw Guinea",1953-1963,† in Jap. internering,~ (2) 1947 Albertine Klingbeil,,,,,1963 > California,,,,,,,,,,,,,,,,,,,,,,,,,1409
"Tjhi Moi-fa, Ms. (China)",±1905,CFMU,"Belitung, evangeliste",± 1938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1410
"Tobi, Leonard, zdl (N)",1832-1888,NZG,Buru,1859-1860," Kruijf 135, 163v","~ Sophia Bahlmann, ond. (1827-1908)",,NZG,Haruku (Midden-Molukken),1860-1865,botste met kol. overheid > NL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1411
"Toet, zr. J. (N)",1909?-,ZGKN-MJ,"Solo, verpleegster Zzh",1934-1940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1412
"Tonsbeek, Johan W. (N)",1884 -1915,UZV,"Tobelo), admin. klappertuin",1913-1915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1413
ongehuwd gebleven,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1414
"Trommel, H.J., zdl (N)",1905-1981,UZV,Sarmi (Papua),1934-1941,,~ (1) 1934 Jannetje Wilh. Meering † 13-11-1936,,ZNB,Poso (MCelebes),1941-1942,1942-45 geïnterneerd,~ (2) ± 1941 H.W. J. Ulderink † 2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1415
"Tromp, Heinrich Philipp, zdl (D)",1842-1922,RMG,Zuid-Kalimantan,1870-1910,~ te Banjarmasin,~ 22-2-1872 Wilh. Maria Bergmann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1416
"Trostel, Gustav, zdl (D)",1906-1942,BM,Tamianglayang (Z-Kal.),1933-1940,† met de Van Imhoff,~ 1934 Emmy Dunkel *1908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1417
"Trowt, Thomas, zdl (GB)",1784-1816,BMS,"Batavia, Semarang",1814-1816,Hij (her)doopte G. Brückner,~ 1814 te Plymouth: Eliza Burnell † 1823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1418
"Tsang To Hang, zdl (China)",±1905-1979,CFMU,"Bali, 1934 Sumsel, Malaya",1931->1942,"Ook ""T. Kam Fuk"". Lewis, Karya",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1419
"Tse, Y.K., zdl (China)",±1905-,CFMU,Makassar,1929-,"Lewis, Karya",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1420
"Tuiten, Joh., zdl (N)",1884-1914,STC,Sangihe (ST),1913-1914†,,"~ 1913 El. Huvers, 1888-1935",,,,,weduwe huwt met K.G.F. Steller ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1421
"Tuiten, Martinus, zdl (N)",1882-1957,NZV,Garut (WJava),1906,> 1913-33 gouv. ambtenaar,~ (1) 1906 G.A. Magendans † 1937,,,Pangharepan (WJava),1906-1913,,~ (2) 1938 Maria Elis. Henkeler (1905/6-..),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1422
"Tunheim, Petra (Norwegia/VS)",1871-1923,SDA,"Surabaya, evangeliste",1906-1919,ESDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1423
"Tüttermann, Lina (D)",1889-1939,RMG,"NSumatra, Missionsschwester",1920-1933,repatrieert wg ziekte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1424
"Tuuk, H. Neubronner van der (N)",1824-1894,NBG,"Zuid-Tapanuli, taalstudie",1849-1857,1847-1873 afgevaardigde ter ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1425
ongehuwd gebleven,,,"Nederland, taalstudie",1857-1868,bijbelvertaling. Swell. I 112-46,,,,"Bali, taalstudie",1868/70-'93,1873 > ambtenaar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1426
"Tuyll v Serooskerken, A.M. v. (N)",1892-1989,NZV,"Bandung, verpleegster",1932-1934,~ 1938 J.N. van der Does,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1427
"Tweedy, zr. Elis. Arnoldine (N)",1886-1956,SZ,verpleegster Zzh te Purwodadi,1916-1920,1920 > NL.~ 1921 S.B. de Groot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1428
"Twijnstra, Hendrik (N)",1892-1945,SDA,"Batavia 1929-37, Man. 1937-9",1929-1942,1942 Japanse internering. ESDA,~ 1914 Maria Koekkoek † 1960,,,Noord-Sumatra 1939-42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1429
"Ufer, Conrad, zdl (D)",1871-1953,RMG,Nias,1901-1932,1914-1919 in Dld,~ 1901 Lydia Thomas † 1947,,,,,~ Gn Sitoli 02-10-1907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1430
"Uhlenbusch, H.Fr.W. (D)",1841-1893,NGZV,zendeling te Tegal en Purbol.,1875-1885,"Cma 159/165, 181; Reenders MJ","~ 4-4-1878 Fasti Thomas (""Vasthi"",",,,1885 geschorst en ontslagen,,872v; Lion Cachet. FT: Javaans pleegkind van Aart Vermeer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1431
"Uittenbogaard, H.M., ond. (N)",1913-1978,ZGKN-S,"Sumba, directrice Hhs",1947-1950,EndSumba 838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1432
"Ulderink, zr. Hendr. Wilh. Joh. (N)",1905-2005,NZG,"Malang, verpl. Zzh Soekoen",1938-±1941,±1941~ zdl H.J. Trom­mel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1433
"Ulfers, S. (D), zdl (N)",1818/9-1885,NZG,Amurang (Minahasa),1847-1849,Kruijf 346-351; Cma 383-386,~ ± 1847 Henriette Kissner (D) † 1872,,,Kumelembuai (Minahasa),1849-1885,verlof 1867-69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1434
"Underhill, Rev. Carl C. (VS)",,EpMeth,"Sukaraja (Banyumas, MJava)",±1913-1915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1435
"Urech, Ms. Lydia, ond. (VS)",,EpMeth,"Ipoh, Penang, ±1916 Java",1911-1942,> Malakka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1436
"Vaandrig, G., ond. (N)",,BM,"Z-Kal., insp. Zendingsscholen",±1938-1942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1437
"Vahrenkamp, Adele (D)",1864-1929,RMG,"NSumatra, Missionsschwester",1898-1900,zie Jung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1438
"Valderpoort, P.G.W., ond. (N)",1892-1942/5,STC,"Manganitu (Sang.), hoofd HIS-Z",1918-1921,,~ 1918 J.C. Wierts van Coehoorn (1892-1984),,,"Tahuna (Sangihe), hoofd ­HIS-Z ",1921-1938,verlof 1933-34,,,,ambtenaar (onderwijsinsp.),1938-1942,† in Jap. internering,,,,,,,,,,,,,,,,,,,,,,,,,1439
"Valderpoort-Wierts van Coe­hoorn, mw. J.C. (N)",,STC,"Tahuna (Sangir), ond. I HIS-Z",1924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1440
"Valk, P.C. van der (N)",,ZGKN-MJ,admin. Zending te Purwokerto,±1939-'42/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1441
"Valk, Theod. August F.. vder, zdl (N)",1828-1874,NZG,"Semarang, inwerkperiode",1852-1853,"Kruijf 529; DZOK 1997/2,",~ 1842 Cath. Maria Louise Wolff (1825-1886),,,Sidokare/Surabaya,1853-1855,p. 24-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1442
"Vasseur, Isaak J.W.J. (N)",1891-1972,LdH,"Semarang, Palu, Luitenant",± 1913-1920,~ 06-09-1920 te Gronin­gen,~ 1920 Elisabeth Valentin (1888-),,NZG,"Poso (MCel), admin. zending",1921,> pred. VEG. NZ­blad 1921-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1443
"Veelen, mw. B.G. van (N)",1908-2001,ZGKN-MJ,"Yogya, hoofd hh Zzh",1937-1942/3,"GZbl 1937, 141",~ 1947 ds. H.G. Meynen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1444
"Veen, R., arts (N)",1906-1972,ZGKN-MJ,"Yogya, arts in Zzh",1933-1943,1943-45 geïnterneerd ,,,,"Surabaya, arts Ned. Marine",1946-1957,"de Jong MJ 787; GZbl 1931, 183; 1937, 140",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1445
"Veen, Gerhardus H.A. vder, zdl (N)",1874-1949,NM/SZ,"dir. opl. evangelisten ""Sabda",1904-39/40,1939 met verlof,~ 1906 Semarang Auguste von Faber,,,"Moelja"" Tingkir > Ungaran",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1446
"Veen, dr. H. van der (N)",1888-1977,NBG,taalgeleerde; vert. Bijbel in het ,1916-1956,Swellengrebel II 131-164;,~ (1) 1916 L. Spieth † 1916,,,Toraja,,"BLGNP V, 519v",~ (2) 1976 G.C. van den Hooff † 1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1447
"Veerenhuis, Gerrit Jan (N)",1879-1946,LdH,"Kalawara (Palu), majoor",± 1931-1933,Java vanaf 1912,~ 1914 Salatiga Everdina Maria Wunderink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1448
"Vegt, H.M. van der, arts (N)", ,ZGKN-MJ,"Kebumen, Zzh (tijd.)",1934-1935,reeds na enkele weken gerepatr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1449
"Veld, Jan in 't, ond. (N)",1883-1971,ZGKN-MJ,"Solo, leraar Chr. HIK",1922-1933,1934> NL. Rdrs MJ 873,~ 1912 Corn. Hendrika Vogelaar (1886-1977),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1450
"Velde, H. te, arts (N)",1908-1942,ZGKN-MJ,"Solo, arts in Zzh",1938-1941,"de Jong MJ 787; GZbl 1938, 126",~ 1936 A.J. Baarsma † 2005,,,"1941 Marine-arts, † Maart '42",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1451
"Velden v Capellen, S.D. van der (N)",1820/1-1856,NZG,zdl. te Amurang (Minahasa),1851-1856,Kruijf 324v; IM in MNZG I,~ 1850 Wilh. van Binsbergen (1821-1875),,,,,(1857) p. 7-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1452
"Velders, mw. W.H. (N)",1912-1993,ZGKN-MJ,"Purbolinggo, ass-apoteker Zzh",±1939-1941,~ ds. Pieter Izak Jongbloed,,,,,,"Zie GZbl 1938, 230",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1453
"Veldhuis, Ruurd, zdl (N)",1893-1944,NZG,Taripa (MCelebes),1922-1942,zie NZblad 1925-11.,~ (1) 1921 El. Lodder † 1925,,,,,verlof 1929-30 en 1938-39 † in ,~ (2) 1930 Afien Bijlefeld † 1979,,,,,Jap. internering,,,,,,,,,,,,,,,,,,,,,,,,,1454
"Veldstra, Fokke, arts (N)",1896-1965,ZGKN-MJ,"Yogya, arts in Zzh",1927-1930,"Rds MJ 873; GZbl 1927, 47;",~ 1925 Klaasje Keizer † 1967,,,,,"1965, 127; ",,,ZGKN-S,"Sumba, arts Zzh",1930-1933,"> gouv.arts in Zzh ""Labuan ",,,DZV,"Pati en Purworejo, arts Zzh",1933-1943,"Badji"", Makassar 1947-49",,,,,,,,,,,,,,,,,,,1455
"Vellekoop, Pieter Nic. (N)",1890-1974,STC,"Manganitu (Sangir), adm. Zdg",1918-1928,,~ 1918 C. Voorrips † 1926,,NZG,"Minahasa, administrateur > hp",1928-1931,IM NZblad 1926-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1456
"Vellenga, zr. J.A. (N)",1897-1983,ZGKN-S,"Waikabubak (Sumba), verpl.",1927-1942,"geïnterneerd, > naar NL. GZbl 1927, 115",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1457
"Verbeet, mw. G., ond. (N)",1886-,SZ,"Purwodadi, hoofd hh Zzh",±1935-1939,RA 1939. N.a. in ZJB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1458
"Verdoorn, J.A., arts (N)",1903-1991,NZV,"Bandung, Zzh Immanuel",1932-1935,,~ C.F. Titarsolej † 1987,,NZV,Purwakarta (WJava) Zzh,1935-1936,,,,NZV,"Sukabumi (WJava), Zzh",1937-1939,Juni 1939 tot 1946 in NL,,,,"Jakarta, arts pem./partic.",1947-1950,,,,,Sukabumi (WJava),1950-1960,,,,,,,,,,,,,,1459
"Verhaag, Jacob, zdl (N)",1803-±1880,NZG,Moa (Mal),1827-1829,"Kruijf 220, Cma, Enklaar JK. ",~ [n.a.],,,"ziekteverlof te Kupang (Timor), neemt ontslag",1829-1830,repatrieert; > pred. in Z-Afrika,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1460
"Verhagen, Dirk, arts (N)",1890-1961,ZGKN-MJ,"Yogya, arts in Zzh",1919-1921,"Rds MJ 873; GZbl 1921, 103; ",~ 1917 Corn. Gorzeman † 1972,,,"Solo, arts in Zzh",1922-1942,"1926, 113",,,,"geïntern., > naar NL 1947",1942-1945,> naar NL 1947,,,,,,,,,,,,,,,,,,,,,,,,,1461
"Verhoeff Jr., Joh. Jac., zdl (N)",1833-1872,NZG,Haruku (Midden-Molukken),1856-1857,Kruijf 149,~ 2-7-1856 Joh. Louisa Beijkerk † 1912 te Utr.,,,Saparua (Midden-Molukken),1857-1860,,,,,Nusalaut (Midden-Molukken),1860-1868,,,,NZG,Langowan (Minahasa),1868-1870,,,,NZG,Leitimor (Ambon) ,1870-1872,"""overleed tijdens reis op zee""",,,,,,,,,,,,,1462
"Verhoeven, J., zdl (N)",1844-1922,NZV,Indramayu (WJava),1876,zie NZblad 1950-5,~ 1875 M. Danen † 1930,,,Majalengka (WJava),1876-1882,IM M. Danen: NZblad 1930-8,,,,Cideres (WJava),1882-1913,verlof 1890-92,,,,Kadipaten (WJava),1913-1922,,,,,Cideres (WJava),1922,,,,,,,,,,,,,,1463
"Verkuijl Az, Arie, ond. (N)",1885-1961,NZG,dir. Meisjesschool te Tomohon,1913-1926,verlof 1922-23,~ 1910 Cornelia van Esterik (1890-?),,NZG,"Malang, hoofd HIS > pensioen",1927-1933,verlof 1930-31. 1933 > Zutphen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1464
"Verkuyl, ds. dr. J. (N)",1908-2001,ZGKN,pred. Aziat. studenten RUL,1937-1939,de Jong MJ 788,~ 1932 Maria Mijnsje van den Heuvel † 1983,,,"Purwokerto, miss. pred.",1940-1942,> geïnterneerd,,,,te Jakarta: Nood-Lectuur Cie,1945-1948,mede-oprichter vd BPKGM,,,,hoogl. STT-Jakarta,1949-1963,> Alg. Secr. NZR > hoogl. VU,,,,,,,,,,,,,,,,,,,1465
"Verleur, zr. Magd. Maria Cath. (N)",1900-1987,ZGKN-MJ,"Purworejo, verpleegster Zzh",1931-±1939,~ Magelang 1933: Sake F. Klein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1466
"Vermaasen, Jan Dirk, zdl (N)",1815/6-1844,NZG,Kupang (Timor),1844,Kruijf 181v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1467
"Vermeer, Aart sr., zdl. (N)",1828-1891,NGZV,"Tegal, zdl.",1862-1867,,~ 1865 Auguste Letz † 1899,,NGZV,"Purbolinggo, zdl.",1867-1877,1869vv contact met Sadrach;,,,"""partic.""","Purbolinggo, ""particulier"" zdl. ",1878-1887,1877 ontslagen,,,NGZV,Purbolinggo en Gruyugan,1887-1891,Reenders MJ 873v,,,,,,,,,,,,,,,,,,,1468
"Vermeer, A., jr., zdl (N)",1872-1934,NZV,Indramayu (WJava),1903-1911,z.v. zdl A. Vermeer,~ 19-4-1902 Maria Magd. Hilekes (1864-),,,Juntikebon (WJava),1911-1914,verlof 1913-16,,,,Mr. Cornelis (WJava),1916-1934,"IM NZblad 1934-10,1929-5",,,,,,,,,,,,,,,,,,,,,,,,,1469
"Vermolen, Willem, ond. (N)",1892-1972,ZGKN-MJ,"Solo, docent Chr. HIK",1922-1940,"Reenders MJ 874; GZbl 1928,",~ 1913 C.M. Weeda † 1962,,,,,127-128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1470
"Versteeg, zr. C. (N)",,ZGKN-MJ,"Purworejo, hoofdverpl. Zzh",1922-1925,> gemeenteambt. Sukabumi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1471
"Verveen, Dirk, arts (N)",1903-1977,ZGKN-MJ,"Klaten, 2e miss. arts",1929-1933,geïnterneerd > 1946 naar NL. ,~ 1929 Maria Cath. Vermeer (1909-1977+),,,"Wonosobo, gen.-dir. Zzh",1933-1943,"Reenders MJ 874; GZbl 1929, 93; 1937, 9v",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1472
"Verveen, J.E., arts (N)",1905-1958,ZGKN-MJ,"Purworejo en Klaten, Zzh­",1932-1935,"de Jong MJ 788; ZblGKN 1933, ",~ 1933 El. Douma † 1988,,,,,89-90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1473
"Verwaal, zr. D., diakones (N)",,NZG,"Mojowarno (OJava), verpl.",1907-1910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1474
"Verwiebe, Ernst, zdl (D)",1901-1961,RMG,"Tapanuli, jongerenwerk",1927-1940,1940 Ned. internering,~ Martha Bleckmann,,,Ephorus HKBP,1936-1940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1475
"Vessem, Jac. van, zdl (N)",1901-1991,UZV,"N-Buru, vanuit Ambon, > hp",1929-1932,,~ 1929 Barbara de Boer (1902-1968),,GPI,penningmeester GPM,1933-±1936,,,,,schoolbeheerder GMIM,±1936-1940,,,,,penningmr Kerkbestuur GPI,1945-±1950 ,,,,,pred. NHK,1951-1966,,,,,,,,,,,,,,1476
"Vieker, Wilhelm, zdl (D)",1891-1961,KlAdam/BM,Zuid-Kalimantan,1923-1929,"uitgez. door Classis Amster­dam,",~ H. Braun,,,,, > pred. in Dld,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1477
"Viering, mw. Emmi (D)",1903-1988,RMG,"NSumatra, Missionsschwester",1929-1940,Mei 1940 geïntern. door Ned.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1478
"Vischer, M. arts (Zwits.)",1895/6-1943,BM,Kuala Kapuas (Z-Kal.),1927-1943,beiden door de Jap. gedood,~ B. Mylius † 1943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1479
"Visser, Ale, zdl (N)",1837-1861,NZG,Malang,1860-1861,Kruijf 584,~ 1860 Maria Martha Flieringa (1840-1881),,,,,MMF ~ 1869 M. Brouwer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1480
"Vizjak, Georg (Kroatia)",1871-1937,LdH,"Bandung, off. Leger des Heils",1913-1917,"dr Kroatia, 1908-13 Zwits.",~ 1923 Klara Keil ,,ZDB,Gambang Waloh,1917-1921,"Laan, 66/79, 239, 240",,,,Temanggung,1921-1937,,,,,,,,,,,,,,,,,,,,,,,,,,1481
"Vlis, Chr. Jac. van der, taalk. (N)",1813-1842,NBG,"Surakarta, bijbelvertaler",1840-1842,Swellengrebel I 255,~1839 Nelia Cath. Joh. van Gorkum † 1872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1482
"Vogelesang, L., arts (N)",1879-1932,ZGKN-MJ,"Yogya, miss. arts Zzh",1907-1912,"Rds MJ 874; GZbl 1926, 27",~ 1907 Sophia Maria Zweers † 1965,,,"Solo, miss. arts Zzh",1912-1915,"> NL. GZbl1915-21;1932, 95",,,,"Purbolinggo, Zzh, arts",1921-1932†,"SMZ: IM GZbl 1965, 159",,,,,,,,,,,,,,,,,,,,,,,,,1483
"Volkmann, H. Wilhelm, zdl (D)",1856-1908,RMG,Noord-Sumatra,1884-1907,,~ 1886 Aug. Weiswange † 1934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1484
"Volmer, Hermann, zdl (D)",1909-1961,RMG,Seribudolok (Tapanuli),1936-1940,10 mei 1940 Ned. internering,~ 1938 Hilda Willmann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1485
"Vonk, A.H., arts (N)",1893-1978,ZGKN-MJ,"Kebumen, arts Zzh",1921-1944 (!),1944-45 geïnterneerd,~ 1921 Sus. van der Poel,,,"DVG-arts in zh LdHeils, Srb",1946-'47/50,"Rds MJ 874; GZbl 1925, 51; 1928, 179",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1486
"Vonk, Jan Casper, zdl (N)",1785-1838,NZG,Kaibobo (Ceram),1824-1837,Kruijf 127v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1487
ongehuwd gebleven,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1488
"Vonk, W.T., zdl (N)",,STC,"Moronge (P. Salibabu, Talaud)",1888-1890,naar NL wg psych. problemen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1489
ongehuwd gebleven,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1490
"Voogd, Abraham de, zdl (N)",1864-1944,NZV,Sumedang (WJava),1889-1890,,~ 1889 Geertruide Maria Corn. de Bode † 1956,,,Cianjur (WJava),1890-1891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1491
"Voorham, B.A., zdl (N)",1875-1908,UZV,Buli (Halmahera),1901-1908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1492
ongehuwd gebleven,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1493
